0,0,0|140.556,199.139,100
0,0,0|70.278,99.5697,50
0,0,0|35.139,49.7848,25
0,0,0|17.5695,24.8924,12.5
0,0,0|8.78475,12.4462,6.25
0,0,0|4.39237,6.22311,3.125
0,6.22311,0|4.39237,12.4462,3.125
8.78475,0,0|17.5695,12.4462,6.25
8.78475,0,0|13.1771,6.22311,3.125
8.78475,6.22311,0|13.1771,12.4462,3.125
0,12.4462,0|8.78475,24.8924,6.25
0,12.4462,0|4.39237,18.6693,3.125
0,18.6693,0|4.39237,24.8924,3.125
8.78475,12.4462,0|17.5695,24.8924,6.25
8.78475,12.4462,0|13.1771,18.6693,3.125
8.78475,18.6693,0|13.1771,24.8924,3.125
0,0,6.25|8.78475,12.4462,12.5
0,0,6.25|4.39237,6.22311,9.375
0,6.22311,6.25|4.39237,12.4462,9.375
8.78475,0,6.25|17.5695,12.4462,12.5
8.78475,0,6.25|13.1771,6.22311,9.375
8.78475,6.22311,6.25|13.1771,12.4462,9.375
0,12.4462,6.25|8.78475,24.8924,12.5
0,12.4462,6.25|4.39237,18.6693,9.375
0,18.6693,6.25|4.39237,24.8924,9.375
8.78475,12.4462,6.25|17.5695,24.8924,12.5
8.78475,12.4462,6.25|13.1771,18.6693,9.375
8.78475,18.6693,6.25|13.1771,24.8924,9.375
17.5695,0,0|35.139,24.8924,12.5
17.5695,0,0|26.3542,12.4462,6.25
17.5695,0,0|21.9619,6.22311,3.125
17.5695,6.22311,0|21.9619,12.4462,3.125
26.3542,0,0|35.139,12.4462,6.25
26.3542,0,0|30.7466,6.22311,3.125
26.3542,6.22311,0|30.7466,12.4462,3.125
17.5695,12.4462,0|26.3542,24.8924,6.25
17.5695,12.4462,0|21.9619,18.6693,3.125
17.5695,18.6693,0|21.9619,24.8924,3.125
26.3542,12.4462,0|35.139,24.8924,6.25
26.3542,12.4462,0|30.7466,18.6693,3.125
26.3542,18.6693,0|30.7466,24.8924,3.125
17.5695,0,6.25|26.3542,12.4462,12.5
17.5695,0,6.25|21.9619,6.22311,9.375
17.5695,6.22311,6.25|21.9619,12.4462,9.375
26.3542,0,6.25|35.139,12.4462,12.5
26.3542,0,6.25|30.7466,6.22311,9.375
26.3542,6.22311,6.25|30.7466,12.4462,9.375
17.5695,12.4462,6.25|26.3542,24.8924,12.5
17.5695,12.4462,6.25|21.9619,18.6693,9.375
17.5695,18.6693,6.25|21.9619,24.8924,9.375
26.3542,12.4462,6.25|35.139,24.8924,12.5
26.3542,12.4462,6.25|30.7466,18.6693,9.375
26.3542,18.6693,6.25|30.7466,24.8924,9.375
0,24.8924,0|17.5695,49.7848,12.5
0,24.8924,0|8.78475,37.3386,6.25
0,24.8924,0|4.39237,31.1155,3.125
0,31.1155,0|4.39237,37.3386,3.125
8.78475,24.8924,0|17.5695,37.3386,6.25
8.78475,24.8924,0|13.1771,31.1155,3.125
8.78475,31.1155,0|13.1771,37.3386,3.125
0,37.3386,0|8.78475,49.7848,6.25
0,37.3386,0|4.39237,43.5617,3.125
0,43.5617,0|4.39237,49.7848,3.125
8.78475,37.3386,0|17.5695,49.7848,6.25
8.78475,37.3386,0|13.1771,43.5617,3.125
8.78475,43.5617,0|13.1771,49.7848,3.125
0,24.8924,6.25|8.78475,37.3386,12.5
0,24.8924,6.25|4.39237,31.1155,9.375
0,31.1155,6.25|4.39237,37.3386,9.375
8.78475,24.8924,6.25|17.5695,37.3386,12.5
8.78475,24.8924,6.25|13.1771,31.1155,9.375
8.78475,31.1155,6.25|13.1771,37.3386,9.375
0,37.3386,6.25|8.78475,49.7848,12.5
0,37.3386,6.25|4.39237,43.5617,9.375
0,43.5617,6.25|4.39237,49.7848,9.375
8.78475,37.3386,6.25|17.5695,49.7848,12.5
8.78475,37.3386,6.25|13.1771,43.5617,9.375
8.78475,43.5617,6.25|13.1771,49.7848,9.375
17.5695,24.8924,0|35.139,49.7848,12.5
17.5695,24.8924,0|26.3542,37.3386,6.25
17.5695,24.8924,0|21.9619,31.1155,3.125
17.5695,31.1155,0|21.9619,37.3386,3.125
26.3542,24.8924,0|35.139,37.3386,6.25
26.3542,24.8924,0|30.7466,31.1155,3.125
26.3542,31.1155,0|30.7466,37.3386,3.125
17.5695,37.3386,0|26.3542,49.7848,6.25
17.5695,37.3386,0|21.9619,43.5617,3.125
17.5695,43.5617,0|21.9619,49.7848,3.125
26.3542,37.3386,0|35.139,49.7848,6.25
26.3542,37.3386,0|30.7466,43.5617,3.125
26.3542,43.5617,0|30.7466,49.7848,3.125
17.5695,24.8924,6.25|26.3542,37.3386,12.5
17.5695,24.8924,6.25|21.9619,31.1155,9.375
17.5695,31.1155,6.25|21.9619,37.3386,9.375
26.3542,24.8924,6.25|35.139,37.3386,12.5
26.3542,24.8924,6.25|30.7466,31.1155,9.375
26.3542,31.1155,6.25|30.7466,37.3386,9.375
17.5695,37.3386,6.25|26.3542,49.7848,12.5
17.5695,37.3386,6.25|21.9619,43.5617,9.375
17.5695,43.5617,6.25|21.9619,49.7848,9.375
26.3542,37.3386,6.25|35.139,49.7848,12.5
26.3542,37.3386,6.25|30.7466,43.5617,9.375
26.3542,43.5617,6.25|30.7466,49.7848,9.375
0,0,12.5|17.5695,24.8924,25
0,0,12.5|8.78475,12.4462,18.75
0,0,12.5|4.39237,6.22311,15.625
0,6.22311,12.5|4.39237,12.4462,15.625
8.78475,0,12.5|17.5695,12.4462,18.75
8.78475,0,12.5|13.1771,6.22311,15.625
8.78475,6.22311,12.5|13.1771,12.4462,15.625
0,12.4462,12.5|8.78475,24.8924,18.75
0,12.4462,12.5|4.39237,18.6693,15.625
0,18.6693,12.5|4.39237,24.8924,15.625
8.78475,12.4462,12.5|17.5695,24.8924,18.75
8.78475,12.4462,12.5|13.1771,18.6693,15.625
8.78475,18.6693,12.5|13.1771,24.8924,15.625
0,0,18.75|8.78475,12.4462,25
0,0,18.75|4.39237,6.22311,21.875
0,6.22311,18.75|4.39237,12.4462,21.875
8.78475,0,18.75|17.5695,12.4462,25
8.78475,0,18.75|13.1771,6.22311,21.875
8.78475,6.22311,18.75|13.1771,12.4462,21.875
0,12.4462,18.75|8.78475,24.8924,25
0,12.4462,18.75|4.39237,18.6693,21.875
0,18.6693,18.75|4.39237,24.8924,21.875
8.78475,12.4462,18.75|17.5695,24.8924,25
8.78475,12.4462,18.75|13.1771,18.6693,21.875
8.78475,18.6693,18.75|13.1771,24.8924,21.875
17.5695,0,12.5|35.139,24.8924,25
17.5695,0,12.5|26.3542,12.4462,18.75
17.5695,0,12.5|21.9619,6.22311,15.625
17.5695,6.22311,12.5|21.9619,12.4462,15.625
26.3542,0,12.5|35.139,12.4462,18.75
26.3542,0,12.5|30.7466,6.22311,15.625
26.3542,6.22311,12.5|30.7466,12.4462,15.625
17.5695,12.4462,12.5|26.3542,24.8924,18.75
17.5695,12.4462,12.5|21.9619,18.6693,15.625
17.5695,18.6693,12.5|21.9619,24.8924,15.625
